,decimal,binary
327,62681,1111010011011001
328,26471,0110011101100111
329,49970,1100001100110010
330,52732,1100110111111100
331,4859,0001001011111011
332,36825,1000111111011001
333,36727,1000111101110111
334,15817,0011110111001001
335,52483,1100110100000011
336,40856,1001111110011000
337,35858,1000110000010010
338,12375,0011000001010111
339,63309,1111011101001101
340,40126,1001110010111110
341,35865,1000110000011001
342,29994,0111010100101010
343,33194,1000000110101010
344,7370,0001110011001010
345,12625,0011000101010001
346,57551,1110000011001111
347,15565,0011110011001101
348,24445,0101111101111101
349,43572,1010101000110100
350,54910,1101011001111110
351,14118,0011011100100110
352,7676,0001110111111100
353,1741,0000011011001101
354,8137,0001111111001001
355,1564,0000011000011100
356,18358,0100011110110110
357,48085,1011101111010101
358,27062,0110100110110110
359,6156,0001100000001100
360,29226,0111001000101010
361,38485,1001011001010101
362,12764,0011000111011100
363,58292,1110001110110100
364,53096,1100111101101000
365,19321,0100101101111001
366,9460,0010010011110100
367,50109,1100001110111101
368,12849,0011001000110001
369,15226,0011101101111010
370,55953,1101101010010001
371,42790,1010011100100110
372,49517,1100000101101101
373,4987,0001001101111011
374,64072,1111101001001000
375,23616,0101110001000000
376,9662,0010010110111110
377,64710,1111110011000110
378,61132,1110111011001100
379,48329,1011110011001001
380,10544,0010100100110000
381,28312,0110111010011000
382,22399,0101011101111111
383,46078,1011001111111110
384,52843,1100111001101011
385,1310,0000010100011110
386,12387,0011000001100011
387,25813,0110010011010101
388,65167,1111111010001111
389,23794,0101110011110010
390,45951,1011001101111111
391,56066,1101101100000010
392,15768,0011110110011000
393,39662,1001101011101110
394,30987,0111100100001011
395,39755,1001101101001011
396,3942,0000111101100110
397,45694,1011001001111110
398,44853,1010111100110101
399,8049,0001111101110001
400,44903,1010111101100111
401,11963,0010111010111011
402,14351,0011100000001111
403,8695,0010000111110111
404,27623,0110101111100111
405,42905,1010011110011001
406,62132,1111001010110100
407,25187,0110001001100011
408,24347,0101111100011011
409,60413,1110101111111101
410,57506,1110000010100010
411,24989,0110000110011101
412,434,0000000110110010
413,23617,0101110001000001
414,37025,1001000010100001
415,6285,0001100010001101
416,22888,0101100101101000
417,24782,0110000011001110
418,22569,0101100000101001
419,46310,1011010011100110
420,25947,0110010101011011
421,24964,0110000110000100
422,31383,0111101010010111
423,13569,0011010100000001
424,21843,0101010101010011
425,13647,0011010101001111
426,28730,0111000000111010
427,4034,0000111111000010
428,16523,0100000010001011
429,59915,1110101000001011
430,12739,0011000111000011
431,60974,1110111000101110
432,4996,0001001110000100
433,2497,0000100111000001
434,31392,0111101010100000
435,38824,1001011110101000
436,58316,1110001111001100
437,58984,1110011001101000
438,48865,1011111011100001
439,30226,0111011000010010
440,27711,0110110000111111
441,15084,0011101011101100
442,34440,1000011010001000
443,21443,0101001111000011
444,4355,0001000100000011
445,62029,1111001001001101
446,55819,1101101000001011
447,61838,1111000110001110
448,38075,1001010010111011
449,11742,0010110111011110
450,55881,1101101001001001
451,2779,0000101011011011
452,6717,0001101000111101
453,44147,1010110001110011
454,63988,1111100111110100
455,1105,0000010001010001
456,48711,1011111001000111
457,61954,1111001000000010
458,48820,1011111010110100
459,50847,1100011010011111
460,14841,0011100111111001
461,19758,0100110100101110
462,38469,1001011001000101
463,48425,1011110100101001
464,28027,0110110101111011
465,14162,0011011101010010
466,9789,0010011000111101
467,542,0000001000011110
468,61558,1111000001110110
469,62938,1111010111011010
470,31593,0111101101101001
471,47582,1011100111011110
472,51089,1100011110010001
473,37328,1001000111010000
474,46892,1011011100101100
475,31515,0111101100011011
476,64788,1111110100010100
477,57508,1110000010100100
478,43287,1010100100010111
479,49042,1011111110010010
480,21315,0101001101000011
481,22601,0101100001001001
482,22559,0101100000011111
483,55698,1101100110010010
484,49502,1100000101011110
485,7621,0001110111000101
486,35402,1000101001001010
487,60751,1110110101001111
488,46791,1011011011000111
489,19655,0100110011000111
490,55836,1101101000011100
491,14328,0011011111111000
492,12628,0011000101010100
493,12015,0010111011101111
494,10999,0010101011110111
495,50351,1100010010101111
496,39003,1001100001011011
497,49582,1100000110101110
498,47340,1011100011101100
499,38267,1001010101111011
500,8873,0010001010101001
501,17955,0100011000100011
502,50047,1100001101111111
503,64138,1111101010001010
504,47878,1011101100000110
505,26759,0110100010000111
506,58708,1110010101010100
507,58271,1110001110011111
508,22937,0101100110011001
509,39991,1001110000110111
510,64129,1111101010000001
511,17895,0100010111100111
512,62928,1111010111010000
513,33234,1000000111010010
514,49549,1100000110001101
515,30780,0111100000111100
516,24874,0110000100101010
517,18074,0100011010011010
518,57780,1110000110110100
519,57097,1101111100001001
520,37669,1001001100100101
521,49848,1100001010111000
522,19300,0100101101100100
523,40622,1001111010101110
524,9923,0010011011000011
525,11877,0010111001100101
526,30034,0111010101010010
527,40766,1001111100111110
528,36206,1000110101101110
529,54570,1101010100101010
530,54645,1101010101110101
531,14222,0011011110001110
532,29675,0111001111101011
533,17512,0100010001101000
534,15282,0011101110110010
535,24981,0110000110010101
536,5467,0001010101011011
537,8242,0010000000110010
538,44771,1010111011100011
539,63577,1111100001011001
540,16206,0011111101001110
541,12396,0011000001101100
542,65518,1111111111101110
543,44591,1010111000101111
544,37058,1001000011000010
545,53000,1100111100001000
546,2242,0000100011000010
547,50450,1100010100010010
548,10560,0010100101000000
549,35478,1000101010010110
550,40708,1001111100000100
551,6361,0001100011011001
552,47428,1011100101000100
553,38846,1001011110111110
554,1168,0000010010010000
555,13120,0011001101000000
556,41894,1010001110100110
557,43780,1010101100000100
558,54364,1101010001011100
559,18301,0100011101111101
560,239,0000000011101111
561,34022,1000010011100110
562,25297,0110001011010001
563,6045,0001011110011101
564,61999,1111001000101111
565,10246,0010100000000110
566,51329,1100100010000001
567,40935,1001111111100111
568,53888,1101001010000000
569,27286,0110101010010110
570,58685,1110010100111101
571,20040,0100111001001000
572,59166,1110011100011110
573,34302,1000010111111110
574,47137,1011100000100001
575,38217,1001010101001001
576,21007,0101001000001111
577,8708,0010001000000100
578,20269,0100111100101101
579,21702,0101010011000110
580,61532,1111000001011100
581,7647,0001110111011111
582,44576,1010111000100000
583,13254,0011001111000110
584,13706,0011010110001010
585,2282,0000100011101010
586,27559,0110101110100111
587,22367,0101011101011111
588,29666,0111001111100010
589,20934,0101000111000110
590,3929,0000111101011001
591,32146,0111110110010010
592,60511,1110110001011111
593,39941,1001110000000101
594,10198,0010011111010110
595,51529,1100100101001001
596,15319,0011101111010111
597,27116,0110100111101100
598,9137,0010001110110001
599,26899,0110100100010011
600,3756,0000111010101100
601,13998,0011011010101110
602,10698,0010100111001010
603,48769,1011111010000001
604,10457,0010100011011001
605,43345,1010100101010001
606,22676,0101100010010100
607,15846,0011110111100110
608,5779,0001011010010011
609,39523,1001101001100011
610,33327,1000001000101111
611,31468,0111101011101100
612,46598,1011011000000110
613,19755,0100110100101011
614,7284,0001110001110100
615,42857,1010011101101001
616,6110,0001011111011110
617,15441,0011110001010001
618,47831,1011101011010111
619,61578,1111000010001010
620,36171,1000110101001011
621,16351,0011111111011111
622,49389,1100000011101101
623,37289,1001000110101001
624,5511,0001010110000111
625,3091,0000110000010011
626,14761,0011100110101001
627,5787,0001011010011011
628,26127,0110011000001111
629,38408,1001011000001000
630,60290,1110101110000010
631,47297,1011100011000001
632,57955,1110001001100011
633,35673,1000101101011001
634,17326,0100001110101110
635,15553,0011110011000001
636,56573,1101110011111101
637,42909,1010011110011101
638,40745,1001111100101001
639,35852,1000110000001100
640,25388,0110001100101100
641,4951,0001001101010111
642,38344,1001010111001000
643,55686,1101100110000110
644,2993,0000101110110001
645,37296,1001000110110000
646,44753,1010111011010001
647,55961,1101101010011001
648,43946,1010101110101010
649,30442,0111011011101010
650,2493,0000100110111101
651,46254,1011010010101110
652,49416,1100000100001000
653,61777,1111000101010001
654,52755,1100111000010011
655,5674,0001011000101010
656,13533,0011010011011101
657,1096,0000010001001000
658,15369,0011110000001001
659,49130,1011111111101010
660,46423,1011010101010111
661,21223,0101001011100111
662,9335,0010010001110111
663,21193,0101001011001001
664,28032,0110110110000000
665,40180,1001110011110100
666,24100,0101111000100100
667,30396,0111011010111100
668,50285,1100010001101101
669,40521,1001111001001001
670,24234,0101111010101010
671,51975,1100101100000111
672,16473,0100000001011001
673,58478,1110010001101110
674,54119,1101001101100111
675,61119,1110111010111111
676,3870,0000111100011110
677,65005,1111110111101101
678,31874,0111110010000010
679,62123,1111001010101011
680,36509,1000111010011101
681,12395,0011000001101011
682,2085,0000100000100101
683,45423,1011000101101111
684,62747,1111010100011011
685,38049,1001010010100001
686,60716,1110110100101100
687,1478,0000010111000110
688,52092,1100101101111100
689,61697,1111000100000001
690,38411,1001011000001011
691,57381,1110000000100101
692,63904,1111100110100000
693,44420,1010110110000100
694,37399,1001001000010111
695,15367,0011110000000111
696,49081,1011111110111001
697,29986,0111010100100010
698,34734,1000011110101110
699,2332,0000100100011100
700,33924,1000010010000100
701,36504,1000111010011000
702,50677,1100010111110101
703,5502,0001010101111110
704,18038,0100011001110110
705,54984,1101011011001000
706,1370,0000010101011010
707,22187,0101011010101011
708,24354,0101111100100010
709,4072,0000111111101000
710,30164,0111010111010100
711,61663,1111000011011111
712,29697,0111010000000001
713,63117,1111011010001101
714,63467,1111011111101011
715,8104,0001111110101000
716,17435,0100010000011011
717,53685,1101000110110101
718,2647,0000101001010111
719,36157,1000110100111101
720,44431,1010110110001111
721,29987,0111010100100011
722,19186,0100101011110010
723,61814,1111000101110110
724,7203,0001110000100011
725,37224,1001000101101000
726,41249,1010000100100001
727,63128,1111011010011000
728,32848,1000000001010000
729,29710,0111010000001110
730,4091,0000111111111011
731,33271,1000000111110111
732,62655,1111010010111111
733,58969,1110011001011001
734,35432,1000101001101000
735,6981,0001101101000101
736,62318,1111001101101110
737,680,0000001010101000
738,42328,1010010101011000
739,57015,1101111010110111
740,3722,0000111010001010
741,23217,0101101010110001
742,64950,1111110110110110
743,39979,1001110000101011
744,35237,1000100110100101
745,43377,1010100101110001
746,28789,0111000001110101
747,23906,0101110101100010
748,13110,0011001100110110
749,38623,1001011011011111
750,19208,0100101100001000
751,49824,1100001010100000
752,54801,1101011000010001
753,17060,0100001010100100
754,64486,1111101111100110
755,17288,0100001110001000
756,38814,1001011110011110
757,31318,0111101001010110
758,62645,1111010010110101
759,64021,1111101000010101
760,21863,0101010101100111
761,43828,1010101100110100
762,46488,1011010110011000
763,38138,1001010011111010
764,55941,1101101010000101
765,55196,1101011110011100
766,8348,0010000010011100
767,29899,0111010011001011
768,33711,1000001110101111
769,49360,1100000011010000
770,23887,0101110101001111
771,17114,0100001011011010
772,1410,0000010110000010
773,41777,1010001100110001
774,53471,1101000011011111
775,46241,1011010010100001
776,50831,1100011010001111
777,50940,1100011011111100
778,20899,0101000110100011
779,29404,0111001011011100
780,28211,0110111000110011
781,15078,0011101011100110
782,23595,0101110000101011
783,13905,0011011001010001
784,17979,0100011000111011
785,32292,0111111000100100
786,3028,0000101111010100
787,59110,1110011011100110
788,19224,0100101100011000
789,21876,0101010101110100
790,56483,1101110010100011
791,24119,0101111000110111
792,16157,0011111100011101
793,906,0000001110001010
794,37680,1001001100110000
795,45116,1011000000111100
796,30431,0111011011011111
797,58209,1110001101100001
798,17424,0100010000010000
799,6778,0001101001111010
800,18848,0100100110100000
801,49944,1100001100011000
802,26195,0110011001010011
803,62378,1111001110101010
804,38853,1001011111000101
805,37872,1001001111110000
806,36325,1000110111100101
807,47022,1011011110101110
808,24605,0110000000011101
809,18770,0100100101010010
810,64050,1111101000110010
811,26836,0110100011010100
812,48152,1011110000011000
813,10556,0010100100111100
814,6268,0001100001111100
815,13205,0011001110010101
816,55005,1101011011011101
817,268,0000000100001100
818,48945,1011111100110001
819,63555,1111100001000011
820,16265,0011111110001001
821,17997,0100011001001101
822,3404,0000110101001100
823,55766,1101100111010110
824,117,0000000001110101
825,38976,1001100001000000
826,50953,1100011100001001
827,15761,0011110110010001
828,30924,0111100011001100
829,26075,0110010111011011
830,27181,0110101000101101
831,38210,1001010101000010
832,3543,0000110111010111
833,26087,0110010111100111
834,39712,1001101100100000
835,52382,1100110010011110
836,47004,1011011110011100
837,60703,1110110100011111
838,19847,0100110110000111
839,40946,1001111111110010
840,61787,1111000101011011
841,34663,1000011101100111
842,37537,1001001010100001
843,31570,0111101101010010
844,8140,0001111111001100
845,7237,0001110001000101
846,13023,0011001011011111
847,53381,1101000010000101
848,31237,0111101000000101
849,32800,1000000000100000
850,10589,0010100101011101
851,14999,0011101010010111
852,6146,0001100000000010
853,43998,1010101111011110
854,45637,1011001001000101
855,14863,0011101000001111
856,1074,0000010000110010
857,5083,0001001111011011
858,32926,1000000010011110
859,28293,0110111010000101
860,35066,1000100011111010
861,61900,1111000111001100
862,17318,0100001110100110
863,56848,1101111000010000
864,49192,1100000000101000
865,14528,0011100011000000
866,52956,1100111011011100
867,25184,0110001001100000
868,60975,1110111000101111
869,46176,1011010001100000
870,63244,1111011100001100
871,40721,1001111100010001
872,48400,1011110100010000
873,41088,1010000010000000
874,18086,0100011010100110
875,6634,0001100111101010
876,62656,1111010011000000
877,16112,0011111011110000
878,45381,1011000101000101
879,17514,0100010001101010
880,62427,1111001111011011
881,33535,1000001011111111
882,39285,1001100101110101
883,53480,1101000011101000
884,60073,1110101010101001
885,38600,1001011011001000
886,43298,1010100100100010
887,46035,1011001111010011
888,20473,0100111111111001
889,33421,1000001010001101
890,60829,1110110110011101
891,55614,1101100100111110
892,2762,0000101011001010
893,505,0000000111111001
894,61513,1111000001001001
895,55059,1101011100010011
896,16650,0100000100001010
897,60099,1110101011000011
898,47459,1011100101100011
899,54324,1101010000110100
900,5146,0001010000011010
901,861,0000001101011101
902,61314,1110111110000010
903,38494,1001011001011110
904,51264,1100100001000000
905,49589,1100000110110101
906,54673,1101010110010001
907,54078,1101001100111110
908,32359,0111111001100111
909,36360,1000111000001000
910,65084,1111111000111100
911,26720,0110100001100000
912,7207,0001110000100111
913,24628,0110000000110100
914,48211,1011110001010011
915,7264,0001110001100000
916,38992,1001100001010000
917,39939,1001110000000011
918,64936,1111110110101000
919,36429,1000111001001101
920,61741,1111000100101101
921,14178,0011011101100010
922,30514,0111011100110010
923,15049,0011101011001001
924,38488,1001011001011000
925,61978,1111001000011010
926,4196,0001000001100100
927,53222,1100111111100110
928,12237,0010111111001101
929,43851,1010101101001011
930,38320,1001010110110000
931,57035,1101111011001011
932,19029,0100101001010101
933,64056,1111101000111000
934,1949,0000011110011101
935,3618,0000111000100010
936,17117,0100001011011101
937,44883,1010111101010011
938,8701,0010000111111101
939,14384,0011100000110000
940,49204,1100000000110100
941,44694,1010111010010110
942,26345,0110011011101001
943,41929,1010001111001001
944,19997,0100111000011101
945,32915,1000000010010011
946,20624,0101000010010000
947,13775,0011010111001111
948,18825,0100100110001001
949,32114,0111110101110010
950,15720,0011110101101000
951,17283,0100001110000011
952,27242,0110101001101010
953,29504,0111001101000000
954,58361,1110001111111001
955,52028,1100101100111100
956,44059,1010110000011011
957,38355,1001010111010011
958,40418,1001110111100010
959,16113,0011111011110001
960,54215,1101001111000111
961,51316,1100100001110100
962,9582,0010010101101110
963,8328,0010000010001000
964,25251,0110001010100011
965,63188,1111011011010100
966,6473,0001100101001001
967,41780,1010001100110100
968,5728,0001011001100000
969,49819,1100001010011011
970,5046,0001001110110110
971,18520,0100100001011000
972,59086,1110011011001110
973,18475,0100100000101011
974,32913,1000000010010001
975,55642,1101100101011010
976,49016,1011111101111000
977,24890,0110000100111010
978,50428,1100010011111100
979,51952,1100101011110000
980,18376,0100011111001000
981,4011,0000111110101011
982,29600,0111001110100000
983,44527,1010110111101111
984,62110,1111001010011110
985,9532,0010010100111100
986,48526,1011110110001110
987,5711,0001011001001111
988,31339,0111101001101011
989,9974,0010011011110110
990,44484,1010110111000100
991,745,0000001011101001
992,16011,0011111010001011
993,22962,0101100110110010
994,42469,1010010111100101
995,15135,0011101100011111
996,41346,1010000110000010
997,14253,0011011110101101
998,49503,1100000101011111
999,17413,0100010000000101
1000,9267,0010010000110011
1001,27809,0110110010100001
1002,23481,0101101110111001
1003,28471,0110111100110111
1004,8411,0010000011011011
1005,26222,0110011001101110
1006,62568,1111010001101000
1007,23531,0101101111101011
1008,16831,0100000110111111
1009,33955,1000010010100011
1010,15330,0011101111100010
1011,56925,1101111001011101
1012,58232,1110001101111000
1013,45043,1010111111110011
1014,43958,1010101110110110
1015,32070,0111110101000110
1016,49880,1100001011011000
1017,37193,1001000101001001
1018,14183,0011011101100111
1019,3354,0000110100011010
1020,27018,0110100110001010
1021,56725,1101110110010101
1022,54384,1101010001110000
1023,64624,1111110001110000
1024,10527,0010100100011111
1025,56665,1101110101011001
1026,39536,1001101001110000
1027,4735,0001001001111111
1028,47468,1011100101101100
1029,53643,1101000110001011
1030,25463,0110001101110111
1031,28033,0110110110000001
1032,45201,1011000010010001
1033,35655,1000101101000111
1034,43786,1010101100001010
1035,3792,0000111011010000
1036,49665,1100001000000001
1037,42618,1010011001111010
1038,28304,0110111010010000
1039,18005,0100011001010101
1040,18590,0100100010011110
1041,38199,1001010100110111
1042,60220,1110101100111100
1043,34067,1000010100010011
1044,30804,0111100001010100
1045,28736,0111000001000000
1046,34320,1000011000010000
1047,1989,0000011111000101
1048,50784,1100011001100000
1049,52952,1100111011011000
1050,4460,0001000101101100
1051,12407,0011000001110111
1052,61796,1111000101100100
1053,3720,0000111010001000
1054,25177,0110001001011001
1055,37660,1001001100011100
1056,9779,0010011000110011
1057,81,0000000001010001
1058,23711,0101110010011111
1059,48658,1011111000010010
1060,64212,1111101011010100
1061,64830,1111110100111110
1062,17701,0100010100100101
1063,57447,1110000001100111
1064,58842,1110010111011010
1065,58568,1110010011001000
1066,20802,0101000101000010
1067,42311,1010010101000111
1068,14767,0011100110101111
1069,61130,1110111011001010
1070,27875,0110110011100011
1071,24487,0101111110100111
1072,56712,1101110110001000
1073,18601,0100100010101001
1074,20438,0100111111010110
1075,37796,1001001110100100
1076,39370,1001100111001010
1077,33738,1000001111001010
1078,42722,1010011011100010
1079,42708,1010011011010100
1080,52662,1100110110110110
1081,11009,0010101100000001
1082,42386,1010010110010010
1083,36283,1000110110111011
1084,32320,0111111001000000
1085,9257,0010010000101001
1086,2487,0000100110110111
1087,60920,1110110111111000
1088,21623,0101010001110111
1089,44918,1010111101110110
1090,30197,0111010111110101
1091,27232,0110101001100000
1092,6076,0001011110111100
1093,10551,0010100100110111
1094,28023,0110110101110111
1095,2323,0000100100010011
1096,53950,1101001010111110
1097,16116,0011111011110100
1098,14010,0011011010111010
1099,60634,1110110011011010
1100,16168,0011111100101000
1101,36708,1000111101100100
1102,52580,1100110101100100
1103,20263,0100111100100111
1104,22677,0101100010010101
1105,65258,1111111011101010
1106,4844,0001001011101100
1107,34096,1000010100110000
1108,48082,1011101111010010
1109,54034,1101001100010010
1110,14220,0011011110001100
1111,14349,0011100000001101
1112,52150,1100101110110110
1113,51910,1100101011000110
1114,10665,0010100110101001
1115,38866,1001011111010010
1116,58591,1110010011011111
1117,452,0000000111000100
1118,2979,0000101110100011
1119,39284,1001100101110100
1120,39812,1001101110000100
1121,3511,0000110110110111
1122,6890,0001101011101010
1123,47602,1011100111110010
1124,56250,1101101110111010
1125,60549,1110110010000101
1126,52333,1100110001101101
1127,53350,1101000001100110
1128,64344,1111101101011000
1129,58097,1110001011110001
1130,25118,0110001000011110
1131,22062,0101011000101110
1132,3077,0000110000000101
1133,11076,0010101101000100
1134,41017,1010000000111001
1135,40140,1001110011001100
1136,5241,0001010001111001
1137,8978,0010001100010010
1138,26785,0110100010100001
1139,61937,1111000111110001
1140,29053,0111000101111101
1141,64386,1111101110000010
1142,56314,1101101111111010
1143,26451,0110011101010011
1144,36741,1000111110000101
1145,24760,0110000010111000
1146,18448,0100100000010000
1147,10792,0010101000101000
1148,15194,0011101101011010
1149,19061,0100101001110101
1150,29866,0111010010101010
1151,2785,0000101011100001
1152,30218,0111011000001010
1153,34434,1000011010000010
